ID,Institution Name,CITY,STABBR,Latitude,Longitude
169248,Central Michigan University,Mount Pleasant,MI,43.58355,-84.7746404
169275,Mott Community College,Flint,MI,43.0203856,-83.6726519
169284,Empire Beauty School-Michigan,Grand Rapids,MI,42.9733196,-85.767748
169327,Cleary University,Howell,MI,42.587466,-83.8804811
169363,Concordia University Ann Arbor,Ann Arbor,MI,42.2763047,-83.6825447
169424,Cranbrook Academy of Art,Bloomfield Hills,MI,42.5686224,-83.2512345
169442,College for Creative Studies,Detroit,MI,42.36128,-83.0630446
169479,Davenport University,Grand Rapids,MI,43.6133121,-84.1832638
169503,David Pressley School of Cosmetology,Royal Oak,MI,42.479765,-83.1459655
169521,Delta College,University Center,MI,43.556617,-83.9843639
169576,Detroit Business Institute-Downriver,Riverview,MI,35.313271,-77.783597
169655,MIAT College of Technology,Canton,MI,37.475628,-82.523527
169716,University of Detroit Mercy,Detroit,MI,42.4140319,-83.1378601
169761,Dorsey College,Madison Heights,MI,39.4087096,-76.5956544
169798,Eastern Michigan University,Ypsilanti,MI,42.252349,-83.6228413
169813,Creative Hair School of Cosmetology,Flint,MI,30.523038,-87.900446
169910,Ferris State University,Big Rapids,MI,43.6828521,-85.4836192
169974,Glen Oaks Community College,Centreville,MI,41.8922222,-85.4972222
169983,Kettering University,Flint,MI,43.0140422,-83.7140044
169992,Gogebic Community College,Ironwood,MI,47.1030706,-88.5936296
170000,Grace Christian University,Wyoming,MI,42.9192318,-85.6921721
170037,Cornerstone University,Grand Rapids,MI,42.9808891,-85.5957424
170055,Grand Rapids Community College,Grand Rapids,MI,42.9665672,-85.665001
170082,Grand Valley State University,Allendale,MI,42.9678586,-85.899649
170091,Great Lakes Christian College,Lansing,MI,42.7543146,-84.6385116
170240,Henry Ford College,Dearborn,MI,42.3248168,-83.2374531
170286,Hillsdale College,Hillsdale,MI,41.9318835,-84.6302306
170301,Hope College,Holland,MI,42.7867245,-86.0996427
170444,Jackson College,Jackson,MI,42.165453,-84.4032521
170532,Kalamazoo College,Kalamazoo,MI,42.2907573,-85.5993647
170541,Kalamazoo Valley Community College,Kalamazoo,MI,42.2258902,-85.6826527
170550,Kellogg Community College,Battle Creek,MI,42.3355963,-85.1783259
170587,Kirtland Community College,Grayling,MI,44.4907631,-84.4113498
170611,Michigan College of Beauty-Monroe,Monroe,MI,32.973078,-111.575678
170620,Lake Michigan College,Benton Harbor,MI,42.0956412,-86.393483
