inst,state,city
bellus academy-chula vista,CA,Chula Vista
bethesda university,CA,Anaheim
biola university,CA,La Mirada
brownson technical school,CA,Anaheim
bryan university,AZ,Tempe
butte college,CA,Oroville
california institute of integral studies,CA,San Francisco
cabrillo college,CA,Aptos
california baptist university,CA,Riverside
california college of the arts,CA,San Francisco
university of california-hastings college of law,CA,San Francisco
california institute of technology,CA,Pasadena
california lutheran university,CA,Thousand Oaks
california polytechnic state university-san luis obispo,CA,San Luis Obispo
alliant international university-san diego,CA,San Diego
california state university-bakersfield,CA,Bakersfield
california state university-stanislaus,CA,Turlock
california state university-san bernardino,CA,San Bernardino
california state polytechnic university-pomona,CA,Pomona
california state university-chico,CA,Chico
california state university-dominguez hills,CA,Carson
california state university-fresno,CA,Fresno
california state university-fullerton,CA,Fullerton
california state university-east bay,CA,Hayward
california state university-long beach,CA,Long Beach
california state university-los angeles,CA,Los Angeles
california state university-northridge,CA,Northridge
california state university-sacramento,CA,Sacramento
university of california-berkeley,CA,Berkeley
university of california-davis,CA,Davis
university of california-irvine,CA,Irvine
university of california-los angeles,CA,Los Angeles
university of california-riverside,CA,Riverside
university of california-san diego,CA,La Jolla
university of california-san francisco,CA,San Francisco
university of california-santa barbara,CA,Santa Barbara
university of california-santa cruz,CA,Santa Cruz
sofia university,CA,Palo Alto
california beauty school,CA,Modesto
california christian college,CA,Fresno
haven university,CA,Garden Grove
california hair design academy,CA,La Mesa
california institute of the arts,CA,Valencia
california state university maritime academy,CA,Vallejo
california western school of law,CA,San Diego
canada college,CA,Redwood City
college of the canyons,CA,Santa Clarita
career academy of beauty,CA,Garden Grove
casa loma college-los angeles,CA,Sherman Oaks
cet-san diego,CA,San Diego
cet-san jose,CA,San Jose
cet-el centro,CA,El Centro
cet-colton,CA,Colton
cet-watsonville,CA,Watsonville
cet-salinas,CA,Salinas
cerritos college,CA,Norwalk
cerro coso community college,CA,Ridgecrest
chabot college,CA,Hayward
chaffey college,CA,Rancho Cucamonga
chapman university,CA,Orange
charles r drew university of medicine and science,CA,Los Angeles
concordia university-irvine,CA,Irvine
san diego christian college,CA,Spring Valley
church divinity school of the pacific,CA,Berkeley
citrus college,CA,Glendora
citrus heights beauty college,CA,Citrus Heights
city college of san francisco,CA,San Francisco
claremont graduate university,CA,Claremont
claremont mckenna college,CA,Claremont
milan institute-visalia,CA,Visalia
clovis adult education,CA,Clovis
coastline community college,CA,Fountain Valley
university of silicon valley,CA,San Jose
coba academy,CA,Anaheim
western university of health sciences,CA,Pomona
columbia college,CA,Sonora
columbia college hollywood,CA,Tarzana
compton college,CA,Compton
contra costa college,CA,San Pablo
cosumnes river college,CA,Sacramento
crafton hills college,CA,Yucaipa
cuesta college,CA,San Luis Obispo
cuyamaca college,CA,El Cajon
cypress college,CA,Cypress
de anza college,CA,Cupertino
international school of beauty inc,CA,Palm Desert
dell'arte international school of physical theatre,CA,Blue Lake
college of the desert,CA,Palm Desert
design institute of san diego,CA,San Diego
dharma realm buddhist university,CA,Ukiah
diablo valley college,CA,Pleasant Hill
dominican university of california,CA,San Rafael
dominican school of philosophy & theology,CA,Berkeley
east los angeles college,CA,Monterey Park
el camino community college district,CA,Torrance
emperor's college of traditional oriental medicine,CA,Santa Monica
empire college,CA,Santa Rosa
evergreen valley college,CA,San Jose
fidm-fashion institute of design & merchandising,CA,Los Angeles
feather river community college district,CA,Quincy
federico beauty institute,CA,Sacramento
fielding graduate university,CA,Santa Barbara
five branches university,CA,Santa Cruz
redondo beach beauty college,CA,Torrance
foothill college,CA,Los Altos Hills
franciscan school of theology,CA,San Diego
fredrick and charles beauty college,CA,Eureka
fresno city college,CA,Fresno
fresno pacific university,CA,Fresno
fuller theological seminary,CA,Pasadena
fullerton college,CA,Fullerton
gavilan college,CA,Gilroy
gemological institute of america-carlsbad,CA,Carlsbad
glendale community college,CA,Glendale
glendale career college,CA,Glendale
golden gate university,CA,San Francisco
golden west college,CA,Huntington Beach
graduate theological union,CA,Berkeley
grossmont college,CA,El Cajon
salon success academy-riverside,CA,Riverside
hartnell college,CA,Salinas
harvey mudd college,CA,Claremont
hilltop beauty school,CA,Daly City
holy names university,CA,Oakland
pacifica graduate institute,CA,Carpinteria
california state polytechnic university-humboldt,CA,Arcata
humphreys university-stockton and modesto campuses,CA,Stockton
imperial valley college,CA,Imperial
institute for business and technology,CA,Santa Clara
interior designers institute,CA,Newport Beach
international school of cosmetology,CA,Los Angeles
irvine valley college,CA,Irvine
bellus academy-el cajon,CA,El Cajon
american jewish university,CA,Los Angeles
reedley college,CA,Reedley
life pacific university,CA,San Dimas
university of la verne,CA,La Verne
laguna college of art and design,CA,Laguna Beach
lake tahoe community college,CA,South Lake Tahoe
lancaster beauty school,CA,Lancaster
laney college,CA,Oakland
lassen community college,CA,Susanville
latin american bible institute,CA,La Puente
life chiropractic college west,CA,Hayward
lincoln university,CA,Oakland
