ID,Institution Name,CITY,STABBR,Latitude,Longitude
162104,Cecil College,North East,MD,39.6421241,-75.955277
162122,College of Southern Maryland,La Plata,MD,38.5589964,-77.0106524
162168,Chesapeake College,Wye Mills,MD,38.951059,-76.0824834
162210,Washington Adventist University,Takoma Park,MD,38.9861777,-77.0000231
162283,Coppin State University,Baltimore,MD,39.3110927,-76.6585289
162335,Del-Mar-Va Beauty Academy,Salisbury,MD,37.838813,-82.439359
162371,North American Trade Schools,Baltimore,MD,38.166055,-122.266393
162557,Frederick Community College,Frederick,MD,39.4523239,-77.4183187
162584,Frostburg State University,Frostburg,MD,39.6476066,-78.9405983
162609,Garrett College,McHenry,MD,39.5615972,-79.3392137
162654,Goucher College,Baltimore,MD,39.408995,-76.5928709
162690,Hagerstown Community College,Hagerstown,MD,39.6329566,-77.6684197
162706,Harford Community College,Bel Air,MD,39.5604675,-76.2830045
162760,Hood College,Frederick,MD,39.4229618,-77.4189171
162779,Howard Community College,Columbia,MD,39.2115115,-76.8774656
162830,Aveda Institute-Maryland,Bel Air,MD,39.5319025,-76.3499744
162928,Johns Hopkins University,Baltimore,MD,39.3302022,-76.6218536
163028,Lincoln College of Technology-Columbia,Columbia,MD,39.1740153,-76.8363726
163046,Loyola University Maryland,Baltimore,MD,38.992516,-76.991021
163204,University of Maryland Global Campus,Adelphi,MD,39.1809997,-76.7476124
163259,University of Maryland Baltimore,Baltimore,MD,39.2894478,-76.6263019
163268,University of Maryland-Baltimore County,Baltimore,MD,39.252377,-76.7089181
163286,University of Maryland-College Park,College Park,MD,38.9904124,-76.9438586
163295,Maryland Institute College of Art,Baltimore,MD,39.3050505,-76.619761
163338,University of Maryland Eastern Shore,Princess Anne,MD,38.2140373,-75.6828765
163347,Fortis Institute-Towson,Towson,MD,39.403352,-76.604374
163408,Montgomery Beauty School,Silver Spring,MD,44.878229,-72.564466
163426,Montgomery College,Rockville,MD,39.0985195,-77.1587885
163453,Morgan State University,Baltimore,MD,39.3446663,-76.5836094
163462,Mount St. Mary's University,Emmitsburg,MD,39.6805605,-77.3465509
163532,Ner Israel Rabbinical College,Baltimore,MD,39.3885209,-76.754701
163541,Hair Academy,New Carrollton,MD,30.631769,-81.581209
163578,Notre Dame of Maryland University,Baltimore,MD,39.3514279,-76.6194007
163657,Prince George's Community College,Largo,MD,38.8868714,-76.8263878
163815,Maryland Beauty Academy of Essex,Baltimore,MD,38.710459,-90.461511
163851,Salisbury University,Salisbury,MD,38.345692,-75.606895
163912,St. Mary's College of Maryland,St. Mary's City,MD,38.1903261,-76.4252365
163976,St. John's College,Annapolis,MD,35.6674411,-105.912113
164076,Towson University,Towson,MD,39.3869768,-76.6185804
164085,Maryland University of Integrative Health,Laurel,MD,39.1660408,-76.8879949
164155,United States Naval Academy,Annapolis,MD,38.9815984,-76.4832158
164173,Stevenson University,Owings Mills,MD,39.4267755,-76.7663005
164216,Washington College,Chestertown,MD,39.218376,-76.0692567
164270,McDaniel College,Westminster,MD,39.5852104,-77.0037145
164313,Wor-Wic Community College,Salisbury,MD,38.3733567,-75.5011048
164368,Hult International Business School,Cambridge,MA,40.674265,-111.840945
164447,American International College,Springfield,MA,42.113014,-72.559273
