df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
bethune-cookman university,,FL,bethune-cookman university,,FL,100
beulah heights university,,GA,beulah heights university,,GA,100
beverly hills design institute,,CA,beverly hills design institute,,CA,100
binghamton university,,NY,binghamton university,,NY,100
biola university,,CA,biola university,,CA,100
bismarck state college,,ND,bismarck state college,,ND,100
black hills state university,,SD,black hills state university,,SD,100
blackburn college,,IL,blackburn college,,IL,100
bloomfield college,,NJ,bloomfield college,,NJ,100
bloomsburg university of pennsylvania,,PA,university of pennsylvania,,PA,83
bluefield state university,,WV,bluefield state university,,WV,100
bluefield university,,VA,bluefield university,,VA,100
bluffton university,,OH,bluffton university,,OH,100
bob jones university,,SC,bob jones university,,SC,100
boise state university,,ID,boise state university,,ID,100
boricua college,,NY,boricua college,,NY,100
boston architectural college,,MA,boston architectural college,,MA,100
bowdoin college,,ME,bowdoin college,,ME,100
bowie state university,,MD,bowie state university,,MD,100
bowling green state university-firelands,,OH,bowling green state university-firelands,,OH,100
bradley university,,IL,bradley university,,IL,100
brandeis university,,MA,brandeis university,,MA,100
brazosport college,,TX,brazosport college,,TX,100
brenau university,,GA,brenau university,,GA,100
brescia university,,KY,brescia university,,KY,100
brevard college,,NC,brevard college,,NC,100
bridgewater college,,VA,bridgewater college,,VA,100
bridgewater state university,,MA,bridgewater state university,,MA,100
brookline college-albuquerque,,NM,brookline college-albuquerque,,NM,100
brookline college-phoenix,,AZ,brookline college-phoenix,,AZ,100
brookline college-tempe,,AZ,brookline college-tempe,,AZ,100
brookline college-tucson,,AZ,brookline college-tucson,,AZ,100
broward college,,FL,broward college,,FL,100
bryan college of health sciences,,NE,bryan college of health sciences,,NE,100
bryan college-dayton,,TN,bryan college-dayton,,TN,100
bryan university,,AZ,bryan university,,AZ,100
bryant & stratton college-albany,,NY,bryant & stratton college-albany,,NY,100
bryant & stratton college-buffalo,,NY,bryant & stratton college-buffalo,,NY,100
bryant & stratton college-greece,,NY,bryant & stratton college-greece,,NY,100
bryant & stratton college-parma,,OH,bryant & stratton college-parma,,OH,100
bryant & stratton college-syracuse north,,NY,bryant & stratton college-syracuse north,,NY,100
bryant & stratton college-virginia beach,,VA,bryant & stratton college-virginia beach,,VA,100
bryant & stratton college-wauwatosa,,WI,bryant & stratton college-wauwatosa,,WI,100
bryant university,,RI,bryant university,,RI,100
bryn athyn college of the new church,,PA,bryn athyn college of the new church,,PA,100
bryn mawr college,,PA,bryn mawr college,,PA,100
buena vista university,,IA,buena vista university,,IA,100
bushnell university,,OR,bushnell university,,OR,100
butler university,,IN,butler university,,IN,100
cairn university-langhorne,,PA,cairn university-langhorne,,PA,100
caldwell university,,NJ,caldwell university,,NJ,100
california aeronautical university,,CA,california aeronautical university,,CA,100
california baptist university,,CA,california baptist university,,CA,100
california christian college,,CA,california christian college,,CA,100
california college of the arts,,CA,california college of the arts,,CA,100
california institute of arts & technology,,CA,california institute of arts & technology,,CA,100
california institute of the arts,,CA,california institute of the arts,,CA,100
california jazz conservatory,,CA,california jazz conservatory,,CA,100
california lutheran university,,CA,california lutheran university,,CA,100
california miramar university,,CA,california miramar university,,CA,100
california northstate university,,CA,california northstate university,,CA,100
california polytechnic state university-san luis obispo,,CA,california polytechnic state university-san luis obispo,,CA,100
california state polytechnic university-humboldt,,CA,california state polytechnic university-humboldt,,CA,100
california state polytechnic university-pomona,,CA,california state polytechnic university-pomona,,CA,100
california state university maritime academy,,CA,california state university maritime academy,,CA,100
california state university-bakersfield,,CA,california state university-bakersfield,,CA,100
california state university-channel islands,,CA,california state university-channel islands,,CA,100
california state university-chico,,CA,california state university-chico,,CA,100
california state university-dominguez hills,,CA,california state university-dominguez hills,,CA,100
california state university-east bay,,CA,california state university-east bay,,CA,100
california state university-fresno,,CA,california state university-fresno,,CA,100
california state university-fullerton,,CA,california state university-fullerton,,CA,100
california state university-long beach,,CA,california state university-long beach,,CA,100
california state university-los angeles,,CA,california state university-los angeles,,CA,100
california state university-monterey bay,,CA,california state university-monterey bay,,CA,100
california state university-northridge,,CA,california state university-northridge,,CA,100
california state university-sacramento,,CA,california state university-sacramento,,CA,100
california state university-san bernardino,,CA,california state university-san bernardino,,CA,100
california state university-san marcos,,CA,california state university-san marcos,,CA,100
california state university-stanislaus,,CA,california state university-stanislaus,,CA,100
california university of management and sciences,,CA,california university of science and medicine,,CA,86
calumet college of saint joseph,,IN,calumet college of saint joseph,,IN,100
calvin university,,MI,calvin university,,MI,100
cameron university,,OK,cameron university,,OK,100
canisius college,,NY,canisius college,,NY,100
capella university,,MN,capella university,,MN,100
capital university,,OH,capital university,,OH,100
capitol technology university,,MD,capitol technology university,,MD,100
caribbean university-bayamon,,PR,caribbean university-bayamon,,PR,100
caribbean university-carolina,,PR,caribbean university-carolina,,PR,100
caribbean university-ponce,,PR,caribbean university-ponce,,PR,100
caribbean university-vega baja,,PR,caribbean university-vega baja,,PR,100
carlow university,,PA,carlow university,,PA,100
carolina christian college,,NC,carolina christian college,,NC,100
carolina university,,NC,carolina university,,NC,100
carolinas college of health sciences,,NC,carolinas college of health sciences,,NC,100
carroll college,,MT,carroll college,,MT,100
carroll university,,WI,carroll university,,WI,100
carson-newman university,,TN,carson-newman university,,TN,100
carthage college,,WI,carthage college,,WI,100
cascadia college,,WA,cascadia college,,WA,100
case western reserve university,,OH,case western reserve university,,OH,100
castleton university,,VT,castleton university,,VT,100
catawba college,,NC,catawba college,,NC,100
cedarville university,,OH,cedarville university,,OH,100
cem college-bayamon,,PR,cem college-bayamon,,PR,100
cem college-humacao,,PR,cem college-humacao,,PR,100
cem college-mayaguez,,PR,cem college-humacao,,PR,77
cem college-san juan,,PR,cem college-san juan,,PR,100
centenary college of louisiana,,LA,centenary college of louisiana,,LA,100
centenary university,,NJ,centenary university,,NJ,100
central christian college of kansas,,KS,central christian college of kansas,,KS,100
central college,,IA,central college,,IA,100
central connecticut state university,,CT,central connecticut state university,,CT,100
central methodist university-college of graduate and extended studies,,MO,central methodist university-college of graduate and extended studies,,MO,100
central methodist university-college of liberal arts and sciences,,MO,central methodist university-college of liberal arts and sciences,,MO,100
central michigan university,,MI,central michigan university,,MI,100
central ohio technical college,,OH,central ohio technical college,,OH,100
central penn college,,PA,central penn college,,PA,100
central state university,,OH,central state university,,OH,100
central washington university,,WA,central washington university,,WA,100
central wyoming college,,WY,central wyoming college,,WY,100
