df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
grace college and theological seminary,,IN,grace college and theological seminary,,IN,100
grace mission university,,CA,grace mission university,,CA,100
grace school of theology,,TX,grace school of theology,,TX,100
graceland university-lamoni,,IA,graceland university-lamoni,,IA,100
grand canyon university,,AZ,grand canyon university,,AZ,100
grand valley state university,,MI,grand valley state university,,MI,100
grand view university,,IA,grand view university,,IA,100
granite state college,,NH,granite state college,,NH,100
grays harbor college,,WA,grays harbor college,,WA,100
grayson college,,TX,grayson college,,TX,100
great basin college,,NV,great basin college,,NV,100
great northern university,,WA,great northern university,,WA,100
green river college,,WA,green river college,,WA,100
greensboro college,,NC,greensboro college,,NC,100
greenville technical college,,SC,greenville technical college,,SC,100
greenville university,,IL,greenville university,,IL,100
grove city college,,PA,grove city college,,PA,100
guam community college,,GU,guam community college,,GU,100
guilford college,,NC,guilford college,,NC,100
gulf coast state college,,FL,gulf coast state college,,FL,100
gurnick academy of medical arts,,CA,gurnick academy of medical arts,,CA,100
gustavus adolphus college,,MN,gustavus adolphus college,,MN,100
gwynedd mercy university,,PA,gwynedd mercy university,,PA,100
hallmark university,,TX,hallmark university,,TX,100
hamilton college,,NY,hamilton college,,NY,100
hamline university,,MN,hamline university,,MN,100
hampshire college,,MA,hampshire college,,MA,100
hampton university,,VA,hampton university,,VA,100
hanover college,,IN,hanover college,,IN,100
hardin-simmons university,,TX,hardin-simmons university,,TX,100
harding university,,AR,harding university,,AR,100
harris-stowe state university,,MO,harris-stowe state university,,MO,100
harrisburg university of science and technology,,PA,harrisburg university of science and technology,,PA,100
hartwick college,,NY,hartwick college,,NY,100
haskell indian nations university,,KS,haskell indian nations university,,KS,100
hastings college,,NE,hastings college,,NE,100
haven university,,CA,haven university,,CA,100
haverford college,,PA,haverford college,,PA,100
hawaii pacific university,,HI,hawaii pacific university,,HI,100
heidelberg university,,OH,heidelberg university,,OH,100
helene fuld college of nursing,,NY,helene fuld college of nursing,,NY,100
hellenic college-holy cross greek orthodox school of theology,,MA,hellenic college-holy cross greek orthodox school of theology,,MA,100
henderson state university,,AR,henderson state university,,AR,100
hendrix college,,AR,hendrix college,,AR,100
henry ford college,,MI,henry ford college,,MI,100
heritage bible college,,NC,heritage bible college,,NC,100
heritage christian university,,AL,heritage christian university,,AL,100
heritage university,,WA,heritage university,,WA,100
herzing university-akron,,OH,herzing university-akron,,OH,100
herzing university-atlanta,,GA,herzing university-atlanta,,GA,100
herzing university-birmingham,,AL,herzing university-birmingham,,AL,100
herzing university-brookfield,,WI,herzing university-brookfield,,WI,100
herzing university-kenosha,,WI,herzing university-kenosha,,WI,100
herzing university-madison,,WI,herzing university-madison,,WI,100
herzing university-minneapolis,,MN,herzing university-minneapolis,,MN,100
herzing university-new orleans,,LA,herzing university-new orleans,,LA,100
herzing university-orlando,,FL,herzing university-orlando,,FL,100
herzing university-tampa,,FL,herzing university-tampa,,FL,100
hesston college,,KS,hesston college,,KS,100
high point university,,NC,high point university,,NC,100
hilbert college,,NY,hilbert college,,NY,100
hillsdale college,,MI,hillsdale college,,MI,100
hiram college,,OH,hiram college,,OH,100
hobart william smith colleges,,NY,hobart william smith colleges,,NY,100
hobe sound bible college,,FL,hobe sound bible college,,FL,100
hofstra university,,NY,hofstra university,,NY,100
hollins university,,VA,hollins university,,VA,100
holy apostles college and seminary,,CT,holy apostles college and seminary,,CT,100
holy cross college,,IN,holy cross college,,IN,100
holy family university,,PA,holy family university,,PA,100
hood college,,MD,hood college,,MD,100
hope college,,MI,hope college,,MI,100
hope international university,,CA,hope international university,,CA,100
horizon university,,IN,horizon university,,IN,100
houghton university,,NY,houghton university,,NY,100
howard payne university,,TX,howard payne university,,TX,100
huertas college,,PR,huertas college,,PR,100
hult international business school,,MA,hult international business school,,MA,100
humphreys university-stockton and modesto campuses,,CA,humphreys university-stockton and modesto campuses,,CA,100
huntingdon college,,AL,huntingdon college,,AL,100
huntington university,,IN,huntington university,,IN,100
huntsville bible college,,AL,huntsville bible college,,AL,100
husson university,,ME,husson university,,ME,100
huston-tillotson university,,TX,huston-tillotson university,,TX,100
idaho state university,,ID,idaho state university,,ID,100
ilisagvik college,,AK,ilisagvik college,,AK,100
illinois college,,IL,illinois college,,IL,100
illinois institute of technology,,IL,illinois institute of technology,,IL,100
illinois state university,,IL,illinois state university,,IL,100
illinois wesleyan university,,IL,illinois wesleyan university,,IL,100
immaculata university,,PA,immaculata university,,PA,100
indian bible college,,AZ,indian bible college,,AZ,100
indian river state college,,FL,indian river state college,,FL,100
indiana institute of technology,,IN,indiana institute of technology,,IN,100
indiana institute of technology-college of professional studies,,IN,indiana institute of technology-college of professional studies,,IN,100
indiana state university,,IN,indiana state university,,IN,100
indiana university-bloomington,,IN,indiana university-bloomington,,IN,100
indiana university-east,,IN,indiana university-east,,IN,100
indiana university-kokomo,,IN,indiana university-kokomo,,IN,100
indiana university-northwest,,IN,indiana university-northwest,,IN,100
indiana university-purdue university-indianapolis,,IN,indiana university-purdue university-indianapolis,,IN,100
indiana university-south bend,,IN,indiana university-south bend,,IN,100
indiana university-southeast,,IN,indiana university-southeast,,IN,100
indiana wesleyan university-marion,,IN,indiana wesleyan university-marion,,IN,100
indiana wesleyan university-national & global,,IN,indiana wesleyan university-national & global,,IN,100
institute of american indian and alaska native culture and arts development,,NM,institute of american indian and alaska native culture and arts development,,NM,100
inter american university of puerto rico-aguadilla,,PR,inter american university of puerto rico-aguadilla,,PR,100
inter american university of puerto rico-arecibo,,PR,inter american university of puerto rico-arecibo,,PR,100
inter american university of puerto rico-barranquitas,,PR,inter american university of puerto rico-barranquitas,,PR,100
inter american university of puerto rico-bayamon,,PR,inter american university of puerto rico-bayamon,,PR,100
inter american university of puerto rico-fajardo,,PR,inter american university of puerto rico-fajardo,,PR,100
inter american university of puerto rico-guayama,,PR,inter american university of puerto rico-guayama,,PR,100
inter american university of puerto rico-metro,,PR,inter american university of puerto rico-metro,,PR,100
inter american university of puerto rico-ponce,,PR,inter american university of puerto rico-ponce,,PR,100
inter american university of puerto rico-san german,,PR,inter american university of puerto rico-san german,,PR,100
international baptist college and seminary,,AZ,international baptist college and seminary,,AZ,100
"iona university

",,NY,iona university,,NY,100
iowa state university,,IA,iowa state university,,IA,100
ithaca college,,NY,ithaca college,,NY,100
jackson college,,MI,jackson college,,MI,100
jackson state university,,MS,jackson state university,,MS,100
jacksonville state university,,AL,jacksonville state university,,AL,100
jacksonville university,,FL,jacksonville university,,FL,100
james madison university,,VA,james madison university,,VA,100
jarvis christian university,,TX,jarvis christian university,,TX,100
john brown university,,AR,john brown university,,AR,100
john patrick university of health and applied sciences,,IN,john patrick university of health and applied sciences,,IN,100
john paul the great catholic university,,CA,john paul the great catholic university,,CA,100
johnson & wales university-charlotte,,NC,johnson & wales university-charlotte,,NC,100
johnson & wales university-providence,,RI,johnson & wales university-providence,,RI,100
johnson c smith university,,NC,johnson c smith university,,NC,100
jose maria vargas university,,FL,jose maria vargas university,,FL,100
joyce university of nursing and health sciences,,UT,joyce university of nursing and health sciences,,UT,100
judson university,,IL,judson university,,IL,100
juniata college,,PA,juniata college,,PA,100
kalamazoo college,,MI,kalamazoo college,,MI,100
kansas christian college,,KS,kansas christian college,,KS,100
kansas city art institute,,MO,kansas city art institute,,MO,100
kansas state university,,KS,kansas state university,,KS,100
kansas wesleyan university,,KS,kansas wesleyan university,,KS,100
kean university,,NJ,kean university,,NJ,100
keene state college,,NH,keene state college,,NH,100
kehilath yakov rabbinical seminary,,NY,kehilath yakov rabbinical seminary,,NY,100
keiser university-ft lauderdale,,FL,keiser university-ft lauderdale,,FL,100
kent state university at ashtabula,,OH,kent state university at ashtabula,,OH,100
kent state university at east liverpool,,OH,kent state university at east liverpool,,OH,100
kent state university at geauga,,OH,kent state university at geauga,,OH,100
kent state university at kent,,OH,kent state university at kent,,OH,100
kent state university at salem,,OH,kent state university at salem,,OH,100
kent state university at stark,,OH,kent state university at stark,,OH,100
kent state university at trumbull,,OH,kent state university at trumbull,,OH,100
kent state university at tuscarawas,,OH,kent state university at tuscarawas,,OH,100
kentucky state university,,KY,kentucky state university,,KY,100
kentucky wesleyan college,,KY,kentucky wesleyan college,,KY,100
kettering university,,MI,kettering university,,MI,100
keuka college,,NY,keuka college,,NY,100
keystone college,,PA,keystone college,,PA,100
king university,,TN,king university,,TN,100
king's college,,PA,king's college,,PA,100
knox college,,IL,knox college,,IL,100
la roche university,,PA,la roche university,,PA,100
la sierra university,,CA,la sierra university,,CA,100
laboure college of healthcare,,MA,laboure college of healthcare,,MA,100
lac courte oreilles ojibwe university,,WI,lac courte oreilles ojibwe university,,WI,100
lackawanna college,,PA,lackawanna college,,PA,100
lagrange college,,GA,lagrange college,,GA,100
laguna college of art and design,,CA,laguna college of art and design,,CA,100
lake erie college,,OH,lake erie college,,OH,100
lake forest college,,IL,lake forest college,,IL,100
lake superior state university,,MI,lake superior state university,,MI,100
lake washington institute of technology,,WA,lake washington institute of technology,,WA,100
lake-sumter state college,,FL,lake-sumter state college,,FL,100
lakeland university,,WI,lakeland university,,WI,100
lamar university,,TX,lamar university,,TX,100
lancaster bible college,,PA,lancaster bible college,,PA,100
lander university,,SC,lander university,,SC,100
landmark college,,VT,landmark college,,VT,100
lane college,,TN,lane college,,TN,100
langston university,,OK,langston university,,OK,100
laramie county community college,,WY,laramie county community college,,WY,100
laredo college,,TX,laredo college,,TX,100
lasell university,,MA,lasell university,,MA,100
latin american bible institute,,CA,latin american bible institute,,CA,100
laurus college,,CA,laurus college,,CA,100
lawrence university,,WI,lawrence university,,WI,100
le moyne college,,NY,le moyne college,,NY,100
learnet academy inc,,CA,learnet academy inc,,CA,100
lebanon valley college,,PA,lebanon valley college,,PA,100
lees-mcrae college,,NC,lees-mcrae college,,NC,100
lehigh university,,PA,lehigh university,,PA,100
lenoir-rhyne university,,NC,lenoir-rhyne university,,NC,100
lesley university,,MA,lesley university,,MA,100
letourneau university,,TX,letourneau university,,TX,100
lewis & clark college,,OR,lewis & clark college,,OR,100
lewis university,,IL,lewis university,,IL,100
lewis-clark state college,,ID,lewis-clark state college,,ID,100
liberty university,,VA,liberty university,,VA,100
life pacific university,,CA,life pacific university,,CA,100
lim college,,NY,lim college,,NY,100
limestone university,,SC,limestone university,,SC,100
lincoln memorial university,,TN,lincoln memorial university,,TN,100
lincoln university,,CA,lincoln university,,CA,100
lindenwood university,,MO,lindenwood university,,MO,100
lindsey wilson college,,KY,lindsey wilson college,,KY,100
linfield university,,OR,linfield university,,OR,100
living arts college,,NC,livingstone college,,NC,74
logan university,,MO,logan university,,MO,100
lone star college system,,TX,lone star college system,,TX,100
long island university,,NY,long island university,,NY,100
longwood university,,VA,longwood university,,VA,100
longy school of music of bard college,,MA,longy school of music of bard college,,MA,100
lorain county community college,,OH,lorain county community college,,OH,100
loras college,,IA,loras college,,IA,100
los angeles college of music,,CA,los angeles college of music,,CA,100
los angeles film school,,CA,los angeles film school,,CA,100
louisiana state university and agricultural & mechanical college,,LA,louisiana state university and agricultural & mechanical college,,LA,100
louisiana state university-alexandria,,LA,louisiana state university-alexandria,,LA,100
lourdes university,,OH,lourdes university,,OH,100
lower columbia college,,WA,lower columbia college,,WA,100
loyola university chicago,,IL,loyola university chicago,,IL,100
loyola university maryland,,MD,loyola university maryland,,MD,100
loyola university new orleans,,LA,loyola university new orleans,,LA,100
lubbock christian university,,TX,lubbock christian university,,TX,100
luther college,,IA,luther college,,IA,100
luther rice college & seminary,,GA,luther rice college & seminary,,GA,100
lycoming college,,PA,lycoming college,,PA,100
lynn university,,FL,lynn university,,FL,100
lyon college,,AR,lyon college,,AR,100
macalester college,,MN,macalester college,,MN,100
machzikei hadath rabbinical college,,NY,machzikei hadath rabbinical college,,NY,100
madonna university,,MI,madonna university,,MI,100
maharishi international university,,IA,maharishi international university,,IA,100
maine college of art & design,,ME,maine college of art & design,,ME,100
maine maritime academy,,ME,maine maritime academy,,ME,100
malone university,,OH,malone university,,OH,100
manchester university,,IN,manchester university,,IN,100
manhattan christian college,,KS,manhattan christian college,,KS,100
manhattan college,,NY,manhattan college,,NY,100
manhattan school of music,,NY,manhattan school of music,,NY,100
manhattanville college,,NY,manhattanville college,,NY,100
manna university,,NC,manna university,,NC,100
manor college,,PA,manor college,,PA,100
mansfield university of pennsylvania,,PA,university of pennsylvania,,PA,84
maria college of albany,,NY,maria college of albany,,NY,100
marian university,,IN,marian university,,IN,100
marietta college,,OH,marietta college,,OH,100
marist college,,NY,marist college,,NY,100
marquette university,,WI,marquette university,,WI,100
mars hill university,,NC,mars hill university,,NC,100
marshall university,,WV,marshall university,,WV,100
martin university,,IN,martin university,,IN,100
mary baldwin university,,VA,mary baldwin university,,VA,100
maryland institute college of art,,MD,maryland institute college of art,,MD,100
marymount manhattan college,,NY,marymount manhattan college,,NY,100
marymount university,,VA,marymount university,,VA,100
maryville college,,TN,maryville college,,TN,100
maryville university of saint louis,,MO,maryville university of saint louis,,MO,100
marywood university,,PA,marywood university,,PA,100
massachusetts college of art and design,,MA,massachusetts college of art and design,,MA,100
mayville state university,,ND,mayville state university,,ND,100
mcdaniel college,,MD,mcdaniel college,,MD,100
mckendree university,,IL,mckendree university,,IL,100
mcmurry university,,TX,mcmurry university,,TX,100
mcneese state university,,LA,mcneese state university,,LA,100
mcpherson college,,KS,mcpherson college,,KS,100
mcphs university,,MA,mcphs university,,MA,100
menlo college,,CA,menlo college,,CA,100
mercy college,,NY,mercy college,,NY,100
mercy college of health sciences,,IA,mercy college of health sciences,,IA,100
mercy college of ohio,,OH,mercy college of ohio,,OH,100
mercyhurst university,,PA,mercyhurst university,,PA,100
meredith college,,NC,meredith college,,NC,100
merrimack college,,MA,merrimack college,,MA,100
mesivta of eastern parkway-yeshiva zichron meilech,,NY,mesivta of eastern parkway-yeshiva zichron meilech,,NY,100
mesivta torah vodaath rabbinical seminary,,NY,mesivta torah vodaath rabbinical seminary,,NY,100
mesivtha tifereth jerusalem of america,,NY,mesivtha tifereth jerusalem of america,,NY,100
messenger college,,TX,messenger college,,TX,100
messiah university,,PA,messiah university,,PA,100
methodist university,,NC,methodist university,,NC,100
metropolitan college of new york,,NY,metropolitan college of new york,,NY,100
metropolitan state university,,MN,metropolitan state university,,MN,100
metropolitan state university of denver,,CO,metropolitan state university of denver,,CO,100
miami dade college,,FL,miami dade college,,FL,100
miami regional university,,FL,miami regional university,,FL,100
miami university-hamilton,,OH,miami university-hamilton,,OH,100
miami university-middletown,,OH,miami university-middletown,,OH,100
michigan state university,,MI,michigan state university,,MI,100
michigan technological university,,MI,michigan technological university,,MI,100
mid-america christian university,,OK,mid-america christian university,,OK,100
mid-atlantic christian university,,NC,mid-atlantic christian university,,NC,100
midamerica nazarene university,,KS,midamerica nazarene university,,KS,100
midland college,,TX,midland college,,TX,100
midland university,,NE,midland university,,NE,100
midwestern state university,,TX,midwestern state university,,TX,100
miles college,,AL,miles college,,AL,100
millennia atlantic university,,FL,millennia atlantic university,,FL,100
miller-motte college-wilmington,,NC,miller-motte college-wilmington,,NC,100
millersville university of pennsylvania,,PA,millersville university of pennsylvania,,PA,100
milligan university,,TN,milligan university,,TN,100
millikin university,,IL,millikin university,,IL,100
millsaps college,,MS,millsaps college,,MS,100
milwaukee institute of art & design,,WI,milwaukee institute of art & design,,WI,100
milwaukee school of engineering,,WI,milwaukee school of engineering,,WI,100
minerva university,,CA,minerva university,,CA,100
minneapolis college of art and design,,MN,minneapolis college of art and design,,MN,100
minnesota state university moorhead,,MN,minnesota state university moorhead,,MN,100
minnesota state university-mankato,,MN,minnesota state university-mankato,,MN,100
minot state university,,ND,minot state university,,ND,100
miracosta college,,CA,miracosta college,,CA,100
mirrer yeshiva cent institute,,NY,mirrer yeshiva cent institute,,NY,100
mississippi college,,MS,mississippi college,,MS,100
mississippi state university,,MS,mississippi state university,,MS,100
mississippi university for women,,MS,mississippi university for women,,MS,100
mississippi valley state university,,MS,mississippi valley state university,,MS,100
missouri baptist university,,MO,missouri baptist university,,MO,100
missouri southern state university,,MO,missouri southern state university,,MO,100
missouri state university-springfield,,MO,missouri state university-springfield,,MO,100
missouri valley college,,MO,missouri valley college,,MO,100
missouri western state university,,MO,missouri western state university,,MO,100
mitchell college,,CT,mitchell college,,CT,100
modesto junior college,,CA,modesto junior college,,CA,100
monmouth college,,IL,monmouth college,,IL,100
monroe college,,NY,monroe college,,NY,100
montana state university,,MT,montana state university,,MT,100
montana state university billings,,MT,montana state university billings,,MT,100
montana state university-northern,,MT,montana state university-northern,,MT,100
montana technological university,,MT,montana technological university,,MT,100
montclair state university,,NJ,montclair state university,,NJ,100
montreat college,,NC,montreat college,,NC,100
montserrat college of art,,MA,montserrat college of art,,MA,100
moody bible institute,,IL,moody bible institute,,IL,100
moore college of art and design,,PA,moore college of art and design,,PA,100
moravian university,,PA,moravian university,,PA,100
morehead state university,,KY,morehead state university,,KY,100
morgan state university,,MD,morgan state university,,MD,100
morningside university,,IA,morningside university,,IA,100
morris brown college,,GA,morris brown college,,GA,100
morris college,,SC,morris college,,SC,100
mount aloysius college,,PA,mount aloysius college,,PA,100
mount angel seminary,,OR,mount angel seminary,,OR,100
mount carmel college of nursing,,OH,mount carmel college of nursing,,OH,100
mount holyoke college,,MA,mount holyoke college,,MA,100
mount marty university,,SD,mount marty university,,SD,100
mount mary university,,WI,mount mary university,,WI,100
mount mercy university,,IA,mount mercy university,,IA,100
mount saint joseph university,,OH,mount saint joseph university,,OH,100
mount saint mary college,,NY,mount saint mary college,,NY,100
mount saint mary's university,,CA,mount saint mary's university,,CA,100
mount st. mary's university,,MD,mount st. mary's university,,MD,100
mount vernon nazarene university,,OH,mount vernon nazarene university,,OH,100
muhlenberg college,,PA,muhlenberg college,,PA,100
murray state university,,KY,murray state university,,KY,100
musicians institute,,CA,musicians institute,,CA,100
muskingum university,,OH,muskingum university,,OH,100
naropa university,,CO,naropa university,,CO,100
national american university-ellsworth,,SD,national american university-ellsworth,,SD,100
national louis university,,IL,national louis university,,IL,100
national university,,CA,national university,,CA,100
navajo technical university,,NM,navajo technical university,,NM,100
nazareth college,,NY,nazareth college,,NY,100
nebraska methodist college of nursing & allied health,,NE,nebraska methodist college of nursing & allied health,,NE,100
nebraska wesleyan university,,NE,nebraska wesleyan university,,NE,100
ner israel rabbinical college,,MD,ner israel rabbinical college,,MD,100
neumann university,,PA,neumann university,,PA,100
neumont college of computer science,,UT,neumont college of computer science,,UT,100
nevada state college,,NV,nevada state college,,NV,100
new england college,,NH,new england college,,NH,100
new england institute of technology,,RI,new england institute of technology,,RI,100
new hope christian college-eugene,,OR,new hope christian college-eugene,,OR,100
new jersey city university,,NJ,new jersey city university,,NJ,100
new mexico highlands university,,NM,new mexico highlands university,,NM,100
new mexico state university-main campus,,NM,new mexico state university-main campus,,NM,100
new orleans baptist theological seminary,,LA,new orleans baptist theological seminary,,LA,100
new york college of health professions,,NY,new york college of health professions,,NY,100
new york film academy,,CA,new york film academy,,CA,100
new york institute of technology,,NY,new york institute of technology,,NY,100
new york school of interior design,,NY,new york school of interior design,,NY,100
newman university,,KS,newman university,,KS,100
newschool of architecture and design,,CA,newschool of architecture and design,,CA,100
newu university,,DC,newu university,,DC,100
niagara university,,NY,niagara university,,NY,100
nicholls state university,,LA,nicholls state university,,LA,100
nichols college,,MA,nichols college,,MA,100
nightingale college,,UT,nightingale college,,UT,100
north american university,,TX,north american university,,TX,100
north central college,,IL,north central college,,IL,100
north central state college,,OH,north central state college,,OH,100
north central university,,MN,north central university,,MN,100
north dakota state university-main campus,,ND,north dakota state university-main campus,,ND,100
north florida college,,FL,north florida college,,FL,100
north greenville university,,SC,north greenville university,,SC,100
north park university,,IL,north park university,,IL,100
north seattle college,,WA,north seattle college,,WA,100
northeastern illinois university,,IL,northeastern illinois university,,IL,100
northeastern state university,,OK,northeastern state university,,OK,100
northern arizona university,,AZ,northern arizona university,,AZ,100
northern illinois university,,IL,northern illinois university,,IL,100
northern kentucky university,,KY,northern kentucky university,,KY,100
northern marianas college,,MP,northern marianas college,,MP,100
northern michigan university,,MI,northern michigan university,,MI,100
northern new mexico college,,NM,northern new mexico college,,NM,100
northern state university,,SD,northern state university,,SD,100
northern vermont university,,VT,northern vermont university,,VT,100
northland college,,WI,northland college,,WI,100
northpoint bible college,,MA,northpoint bible college,,MA,100
northwest college,,WY,northwest college,,WY,100
northwest college of art & design,,WA,northwest college of art & design,,WA,100
northwest florida state college,,FL,northwest florida state college,,FL,100
northwest indian college,,WA,northwest indian college,,WA,100
northwest missouri state university,,MO,northwest missouri state university,,MO,100
northwest nazarene university,,ID,northwest nazarene university,,ID,100
northwest university,,WA,northwest university,,WA,100
northwest university-center for online and extended education,,WA,northwest university-center for online and extended education,,WA,100
northwestern college,,IA,northwestern college,,IA,100
northwestern michigan college,,MI,northwestern michigan college,,MI,100
northwestern oklahoma state university,,OK,northwestern oklahoma state university,,OK,100
northwestern state university of louisiana,,LA,northwestern state university of louisiana,,LA,100
northwood university,,MI,northwood university,,MI,100
norwich university,,VT,norwich university,,VT,100
nossi college of art,,TN,nossi college of art,,TN,100
notre dame of maryland university,,MD,notre dame of maryland university,,MD,100
nuc university,,PR,nuc university,,PR,100
nuc university - florida technical college,,FL,nuc university - florida technical college - tampa,,FL,93
nueta hidatsa sahnish college,,ND,nueta hidatsa sahnish college,,ND,100
oak hills christian college,,MN,oak hills christian college,,MN,100
oak valley college,,CA,oak valley college,,CA,100
oakland city university,,IN,oakland city university,,IN,100
oakwood university,,AL,oakwood university,,AL,100
occidental college,,CA,occidental college,,CA,100
odessa college,,TX,odessa college,,TX,100
oglala lakota college,,SD,oglala lakota college,,SD,100
oglethorpe university,,GA,oglethorpe university,,GA,100
ohio christian university,,OH,ohio christian university,,OH,100
ohio dominican university,,OH,ohio dominican university,,OH,100
ohio northern university,,OH,ohio northern university,,OH,100
ohio state university-lima campus,,OH,ohio state university-lima campus,,OH,100
ohio state university-mansfield campus,,OH,ohio state university-mansfield campus,,OH,100
ohio state university-marion campus,,OH,ohio state university-marion campus,,OH,100
ohio state university-newark campus,,OH,ohio state university-newark campus,,OH,100
ohio university-chillicothe campus,,OH,ohio university-chillicothe campus,,OH,100
ohio university-eastern campus,,OH,ohio university-eastern campus,,OH,100
ohio university-lancaster campus,,OH,ohio university-lancaster campus,,OH,100
ohio university-main campus,,OH,ohio university-main campus,,OH,100
ohio university-southern campus,,OH,ohio university-southern campus,,OH,100
ohio university-zanesville campus,,OH,ohio university-zanesville campus,,OH,100
ohio wesleyan university,,OH,ohio wesleyan university,,OH,100
oklahoma baptist university,,OK,oklahoma baptist university,,OK,100
oklahoma christian university,,OK,oklahoma christian university,,OK,100
oklahoma city university,,OK,oklahoma city university,,OK,100
oklahoma panhandle state university,,OK,oklahoma panhandle state university,,OK,100
oklahoma state university institute of technology,,OK,oklahoma state university institute of technology,,OK,100
oklahoma state university-main campus,,OK,oklahoma state university-main campus,,OK,100
oklahoma state university-oklahoma city,,OK,oklahoma state university-oklahoma city,,OK,100
oklahoma wesleyan university,,OK,oklahoma wesleyan university,,OK,100
old dominion university,,VA,old dominion university,,VA,100
olivet college,,MI,olivet college,,MI,100
olivet nazarene university,,IL,olivet nazarene university,,IL,100
olympic college,,WA,olympic college,,WA,100
oregon health & science university,,OR,oregon health & science university,,OR,100
oregon institute of technology,,OR,oregon institute of technology,,OR,100
oregon state university,,OR,oregon state university,,OR,100
oregon state university-cascades campus,,OR,oregon state university-cascades campus,,OR,100
orion technical college,,IA,orion technical college,,IA,100
otis college of art and design,,CA,otis college of art and design,,CA,100
ottawa university-ottawa,,KS,ottawa university-ottawa,,KS,100
ottawa university-surprise,,AZ,ottawa university-surprise,,AZ,100
otterbein university,,OH,otterbein university,,OH,100
ouachita baptist university,,AR,ouachita baptist university,,AR,100
our lady of the lake university,,TX,our lady of the lake university,,TX,100
ozark christian college,,MO,ozark christian college,,MO,100
pace university,,NY,pace university,,NY,100
pacific bible college,,OR,pacific bible college,,OR,100
pacific college,,CA,pacific college,,CA,100
pacific college of health and science,,CA,pacific college of health and science,,CA,100
pacific islands university,,GU,pacific islands university,,GU,100
pacific lutheran university,,WA,pacific lutheran university,,WA,100
pacific oaks college,,CA,pacific oaks college,,CA,100
pacific rim christian university,,HI,pacific rim christian university,,HI,100
pacific states university,,CA,pacific states university,,CA,100
pacific union college,,CA,pacific union college,,CA,100
pacific university,,OR,pacific university,,OR,100
paier college,,CT,paier college,,CT,100
paine college,,GA,paine college,,GA,100
palm beach atlantic university,,FL,palm beach atlantic university,,FL,100
palm beach state college,,FL,palm beach state college,,FL,100
park university,,MO,park university,,MO,100
parker university,,TX,parker university,,TX,100
pasco-hernando state college,,FL,pasco-hernando state college,,FL,100
paul quinn college,,TX,paul quinn college,,TX,100
paul smiths college of arts and science,,NY,paul smiths college of arts and science,,NY,100
pci college,,CA,pci college,,CA,100
peirce college,,PA,peirce college,,PA,100
peninsula college,,WA,peninsula college,,WA,100
pennsylvania college of art and design,,PA,pennsylvania college of art and design,,PA,100
pennsylvania college of technology,,PA,pennsylvania college of technology,,PA,100
pennsylvania institute of technology,,PA,pennsylvania institute of technology,,PA,100
pennsylvania western university,,PA,pennsylvania western university,,PA,100
pensacola state college,,FL,pensacola state college,,FL,100
pepperdine university,,CA,pepperdine university,,CA,100
peru state college,,NE,peru state college,,NE,100
pfeiffer university,,NC,pfeiffer university,,NC,100
piedmont university,,GA,piedmont university,,GA,100
pikes peak state college,,CO,pikes peak state college,,CO,100
pillar college,,NJ,pillar college,,NJ,100
pima medical institute-tucson,,AZ,pima medical institute-tucson,,AZ,100
pittsburg state university,,KS,pittsburg state university,,KS,100
pittsburgh technical college,,PA,pittsburgh technical college,,PA,100
platt college-aurora,,CO,platt college-aurora,,CO,100
platt college-los angeles,,CA,platt college-los angeles,,CA,100
platt college-ontario,,CA,platt college-ontario,,CA,100
platt college-riverside,,CA,platt college-riverside,,CA,100
platt college-san diego,,CA,platt college-san diego,,CA,100
plaza college,,NY,plaza college,,NY,100
plymouth state university,,NH,plymouth state university,,NH,100
point loma nazarene university,,CA,point loma nazarene university,,CA,100
point park university,,PA,point park university,,PA,100
point university,,GA,point university,,GA,100
polk state college,,FL,polk state college,,FL,100
pomona college,,CA,pomona college,,CA,100
portland state university,,OR,portland state university,,OR,100
post university,,CT,post university,,CT,100
potomac state college of west virginia university,,WV,potomac state college of west virginia university,,WV,100
prairie view a & m university,,TX,prairie view a & m university,,TX,100
pratt institute-main,,NY,pratt institute-main,,NY,100
presbyterian college,,SC,presbyterian college,,SC,100
prescott college,,AZ,prescott college,,AZ,100
principia college,,IL,principia college,,IL,100
providence college,,RI,providence college,,RI,100
provo college,,UT,provo college,,UT,100
pueblo community college,,CO,pueblo community college,,CO,100
purdue university fort wayne,,IN,purdue university fort wayne,,IN,100
purdue university global,,IN,purdue university global,,IN,100
purdue university northwest,,IN,purdue university northwest,,IN,100
queens university of charlotte,,NC,queens university of charlotte,,NC,100
quincy college,,MA,quincy college,,MA,100
quincy university,,IL,quincy university,,IL,100
quinnipiac university,,CT,quinnipiac university,,CT,100
rabbi jacob joseph school,,NJ,rabbi jacob joseph school,,NJ,100
rabbinical academy mesivta rabbi chaim berlin,,NY,rabbinical academy mesivta rabbi chaim berlin,,NY,100
rabbinical college beth shraga,,NY,rabbinical college beth shraga,,NY,100
rabbinical college bobover yeshiva bnei zion,,NY,rabbinical college bobover yeshiva bnei zion,,NY,100
rabbinical college of america,,NJ,rabbinical college of america,,NJ,100
rabbinical college of long island,,NY,rabbinical college of long island,,NY,100
rabbinical college of ohr shimon yisroel,,NY,rabbinical college of ohr shimon yisroel,,NY,100
rabbinical college telshe,,OH,rabbinical college telshe,,OH,100
